Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Other,Other,B.1.2,0.002,2021-06-20
Other,Other,B.1.2,0.001,2021-07-18
Other,Other,B.1.2,0,2021-08-01
Other,Other,B.1.2,0,2021-08-15
Other,Other,B.1.2,0,2021-09-05
Other,Other,B.1.2,0,2021-09-12
Other,Other,B.1.2,0,2021-09-19
Other,Other,B.1.2,0,2021-09-26
Other,Other,B.1.2,0.001,2021-10-03
Other,Other,B.1.2,0,2021-10-10
Other,Other,B.1.2,0,2021-10-17
Other,Other,B.1.2,0,2021-10-24
Other,Other,B.1.2,0,2021-10-31
Other,Other,B.1.2,0,2021-12-05
Other,Other,B.1.2,0,2022-04-10
Other,Other,B.1.203,0.001,2020-11-15
Other,Other,B.1.210,0.005,2020-07-26
Other,Other,B.1.211,0,2021-01-10
Other,Other,B.1.214.2,0,2021-01-03
Other,Other,B.1.214.2,0,2021-03-07
Other,Other,B.1.214.2,0,2021-05-16
Other,Other,B.1.214.3,0,2021-01-03
Other,Other,B.1.219,0.001,2020-03-22
Other,Other,B.1.22,0.002,2020-03-15
Other,Other,B.1.22,0.002,2020-03-22
Other,Other,B.1.22,0.004,2020-03-29
Other,Other,B.1.220,0.001,2020-03-22
Other,Other,B.1.220,0.003,2020-05-17
Other,Other,B.1.221,0.002,2020-09-13
Other,Other,B.1.221,0.001,2020-10-11
Other,Other,B.1.221,0.001,2020-11-01
Other,Other,B.1.221,0.002,2020-11-15
Other,Other,B.1.221,0.001,2020-11-22
Other,Other,B.1.221,0.002,2020-11-29
Other,Other,B.1.221,0,2021-01-03
Other,Other,B.1.223,0.009,2020-03-01
Other,Other,B.1.224,0.001,2020-12-27
Other,Other,B.1.224,0,2021-01-03
Other,Other,B.1.23,0.001,2020-03-29
Other,Other,B.1.232,0.001,2020-12-06
Other,Other,B.1.232,0,2021-01-17
Other,Other,B.1.234,0.005,2020-10-18
Other,Other,B.1.234,0.001,2020-10-25
Other,Other,B.1.234,0.003,2020-11-22
Other,Other,B.1.234,0.001,2020-11-29
Other,Other,B.1.234,0.001,2020-12-06
Other,Other,B.1.234,0.001,2020-12-13
Other,Other,B.1.234,0.002,2020-12-20
Other,Other,B.1.234,0.001,2021-01-03
Other,Other,B.1.234,0.001,2021-01-17
Other,Other,B.1.234,0,2021-01-24
Other,Other,B.1.234,0.001,2021-01-31
Other,Other,B.1.239,0.003,2020-08-09
Other,Other,B.1.239,0.002,2020-11-01
Other,Other,B.1.239,0.001,2020-12-06
Other,Other,B.1.239,0.001,2020-12-27
Other,Other,B.1.239,0,2021-01-03
Other,Other,B.1.239,0,2021-02-21
Other,Other,B.1.240,0.011,2020-08-09
Other,Other,B.1.240,0.001,2020-10-18
Other,Other,B.1.240,0.001,2020-10-25
Other,Other,B.1.240,0.002,2020-11-01
Other,Other,B.1.240,0.004,2020-11-15
Other,Other,B.1.240,0.002,2020-11-22
Other,Other,B.1.240,0.002,2020-11-29
Other,Other,B.1.240,0.003,2020-12-06
Other,Other,B.1.240,0.001,2020-12-13
Other,Other,B.1.240,0,2021-01-10
Other,Other,B.1.240,0.001,2021-01-17
Other,Other,B.1.240,0.003,2021-01-24
Other,Other,B.1.240,0.005,2021-01-31
Other,Other,B.1.240,0.005,2021-02-07
Other,Other,B.1.240,0.003,2021-02-14
Other,Other,B.1.240,0.001,2021-02-21
Other,Other,B.1.240,0.001,2021-02-28
Other,Other,B.1.240,0,2021-03-28
Other,Other,B.1.240.1,0.003,2020-09-06
Other,Other,B.1.240.1,0.001,2020-10-11
Other,Other,B.1.240.1,0.001,2020-10-18
Other,Other,B.1.240.2,0.002,2020-08-23
Other,Other,B.1.243,0.015,2020-07-19
Other,Other,B.1.243,0.005,2020-07-26
Other,Other,B.1.243,0.004,2020-08-23
Other,Other,B.1.243,0.003,2020-08-30
Other,Other,B.1.243,0.003,2020-09-06
Other,Other,B.1.243,0.006,2020-09-13
Other,Other,B.1.243,0.007,2020-09-20
Other,Other,B.1.243,0.011,2020-09-27
Other,Other,B.1.243,0.002,2020-10-04
Other,Other,B.1.243,0.007,2020-10-11
Other,Other,B.1.243,0.002,2020-10-25
Other,Other,B.1.243,0.001,2020-11-01
Other,Other,B.1.243,0.003,2020-11-15
Other,Other,B.1.243,0.003,2020-11-22
Other,Other,B.1.243,0.003,2020-11-29
Other,Other,B.1.243,0.007,2020-12-06
Other,Other,B.1.243,0.009,2020-12-13
Other,Other,B.1.243,0.006,2020-12-20
Other,Other,B.1.243,0.007,2020-12-27
Other,Other,B.1.243,0.011,2021-01-03
Other,Other,B.1.243,0.014,2021-01-10
Other,Other,B.1.243,0.008,2021-01-17
Other,Other,B.1.243,0.006,2021-01-24
Other,Other,B.1.243,0.003,2021-01-31
Other,Other,B.1.243,0.002,2021-02-07
Other,Other,B.1.243,0.001,2021-02-14
Other,Other,B.1.243,0,2021-02-21
Other,Other,B.1.243,0.001,2021-02-28
Other,Other,B.1.243,0.001,2021-03-07
Other,Other,B.1.243,0,2021-03-14
Other,Other,B.1.243.2,0.001,2021-07-11
Other,Other,B.1.243.2,0,2021-07-18
Other,Other,B.1.243.2,0,2022-01-23
Other,Other,B.1.247,0,2021-02-21
Other,Other,B.1.254,0.001,2020-03-22
Other,Other,B.1.258,0.002,2020-08-30
Other,Other,B.1.258,0.003,2020-09-06
Other,Other,B.1.258,0.002,2020-09-13
Other,Other,B.1.258,0.001,2020-10-11
Other,Other,B.1.258,0.001,2020-11-01
Other,Other,B.1.258,0.001,2020-11-22
Other,Other,B.1.258,0.001,2020-12-13
Other,Other,B.1.258,0.001,2020-12-27
Other,Other,B.1.258,0.001,2021-01-10
Other,Other,B.1.258,0,2021-01-17
Other,Other,B.1.258,0.001,2021-01-24
Other,Other,B.1.258,0.001,2021-01-31
Other,Other,B.1.258,0,2021-02-07
Other,Other,B.1.258,0,2021-02-21
Other,Other,B.1.258,0.001,2021-02-28
Other,Other,B.1.258.17,0,2021-01-17
Other,Other,B.1.258.17,0.002,2021-02-07
Other,Other,B.1.258.17,0,2021-02-14
Other,Other,B.1.258.17,0,2021-03-14
Other,Other,B.1.260,0.001,2020-12-20
Other,Other,B.1.260,0,2021-01-03
Other,Other,B.1.260,0,2021-01-24
Other,Other,B.1.260,0.001,2021-01-31
Other,Other,B.1.260,0,2021-02-07
Other,Other,B.1.260,0.001,2021-02-14
Other,Other,B.1.263,0.001,2020-03-22
Other,Other,B.1.264,0.001,2020-03-29
Other,Other,B.1.264,0.001,2020-04-12
Other,Other,B.1.265,0.002,2020-08-23
Other,Other,B.1.265,0.007,2020-08-30
Other,Other,B.1.265,0.009,2020-09-06
Other,Other,B.1.265,0.004,2020-09-13
Other,Other,B.1.265,0.007,2020-09-20
Other,Other,B.1.265,0.002,2020-09-27
Other,Other,B.1.265,0.001,2020-10-04
Other,Other,B.1.265,0.004,2020-10-11
Other,Other,B.1.265,0.007,2020-10-18
Other,Other,B.1.265,0.004,2020-10-25
Other,Other,B.1.265,0.005,2020-11-01
Other,Other,B.1.265,0.004,2020-11-08
Other,Other,B.1.265,0.003,2020-11-15
Other,Other,B.1.265,0.001,2020-11-22
Other,Other,B.1.265,0.002,2020-11-29
Other,Other,B.1.265,0.001,2020-12-13
Other,Other,B.1.265,0.001,2021-01-31
Other,Other,B.1.265,0,2021-02-07
Other,Other,B.1.270,0.046,2019-12-29
Other,Other,B.1.270,0.004,2020-03-15
Other,Other,B.1.270,0.005,2020-03-22
Other,Other,B.1.270,0.016,2020-03-29
Other,Other,B.1.270,0.027,2020-04-05
Other,Other,B.1.270,0.041,2020-04-12
Other,Other,B.1.270,0.004,2020-04-19
Other,Other,B.1.270,0.006,2020-04-26
Other,Other,B.1.270,0.021,2020-05-03
Other,Other,B.1.270,0.006,2020-05-10
Other,Other,B.1.270,0.018,2020-05-17
Other,Other,B.1.270,0.003,2020-05-24
Other,Other,B.1.270,0.011,2020-05-31
Other,Other,B.1.270,0.023,2020-06-21
Other,Other,B.1.270,0.005,2020-06-28
Other,Other,B.1.270,0.043,2020-07-05
Other,Other,B.1.270,0.03,2020-07-12
Other,Other,B.1.279,0.004,2020-03-15
Other,Other,B.1.279,0.019,2020-03-22
Other,Other,B.1.279,0.013,2020-03-29
Other,Other,B.1.279,0.04,2020-04-05
Other,Other,B.1.279,0.372,2020-04-12
Other,Other,B.1.279,0.528,2020-04-19
Other,Other,B.1.279,0.369,2020-04-26
Other,Other,B.1.279,0.251,2020-05-03
Other,Other,B.1.279,0.211,2020-05-10
Other,Other,B.1.279,0.131,2020-05-17
Other,Other,B.1.279,0.116,2020-05-24
Other,Other,B.1.279,0.027,2020-05-31
Other,Other,B.1.279,0.104,2020-06-07
Other,Other,B.1.279,0.094,2020-06-14
Other,Other,B.1.279,0.33,2020-06-21
Other,Other,B.1.279,0.117,2020-06-28
Other,Other,B.1.279,0.173,2020-07-05
Other,Other,B.1.279,0.083,2020-07-12
Other,Other,B.1.279,0.05,2020-07-19
Other,Other,B.1.279,0.085,2020-07-26
Other,Other,B.1.279,0.076,2020-08-02
Other,Other,B.1.279,0.185,2020-08-09
Other,Other,B.1.279,0.122,2020-08-16
Other,Other,B.1.279,0.08,2020-08-23
Other,Other,B.1.279,0.045,2020-08-30
Other,Other,B.1.279,0.006,2020-09-06
Other,Other,B.1.279,0.038,2020-09-13
Other,Other,B.1.279,0.069,2020-09-20
Other,Other,B.1.279,0.035,2020-09-27
Other,Other,B.1.279,0.022,2020-10-04
Other,Other,B.1.279,0.056,2020-10-11
Other,Other,B.1.279,0.052,2020-10-18
Other,Other,B.1.279,0.038,2020-10-25
Other,Other,B.1.279,0.026,2020-11-01
Other,Other,B.1.279,0.019,2020-11-08
Other,Other,B.1.279,0.029,2020-11-15
Other,Other,B.1.279,0.014,2020-11-22
Other,Other,B.1.279,0.008,2020-11-29
Other,Other,B.1.279,0.007,2020-12-06
Other,Other,B.1.279,0.003,2020-12-13
Other,Other,B.1.279,0.008,2020-12-20
Other,Other,B.1.279,0.001,2020-12-27
Other,Other,B.1.279,0.001,2021-01-03
Other,Other,B.1.279,0.001,2021-01-17
Other,Other,B.1.279,0.001,2021-01-24
Other,Other,B.1.279,0.002,2021-01-31
Other,Other,B.1.279,0.002,2021-02-07
Other,Other,B.1.279,0,2021-04-18
Other,Other,B.1.293,0.002,2020-09-20
Other,Other,B.1.298,0.001,2020-12-13
Other,Other,B.1.3,0.005,2020-06-14
Other,Other,B.1.3,0.005,2020-06-28
Other,Other,B.1.305,0.005,2020-06-28
Other,Other,B.1.305,0.003,2020-08-16
Other,Other,B.1.308,0.001,2020-03-22
Other,Other,B.1.311,0.015,2020-10-18
Other,Other,B.1.311,0.002,2020-10-25
Other,Other,B.1.311,0.001,2020-11-22
Other,Other,B.1.311,0.001,2020-11-29
Other,Other,B.1.311,0.002,2020-12-13
Other,Other,B.1.311,0.001,2020-12-20
Other,Other,B.1.311,0.001,2020-12-27
Other,Other,B.1.311,0.002,2021-01-03
Other,Other,B.1.311,0.001,2021-01-10
Other,Other,B.1.311,0.001,2021-01-17
Other,Other,B.1.311,0,2021-01-24
Other,Other,B.1.311,0.001,2021-02-28
Other,Other,B.1.314,0.004,2020-03-15
Other,Other,B.1.314,0.006,2020-03-22
Other,Other,B.1.316,0.001,2020-04-26
Other,Other,B.1.316,0.005,2020-05-03
Other,Other,B.1.316,0.002,2020-05-10
Other,Other,B.1.316,0.008,2020-05-17
Other,Other,B.1.316,0.006,2020-05-24
Other,Other,B.1.319,0.004,2020-03-15
Other,Other,B.1.319,0.002,2020-03-22
Other,Other,B.1.319,0.001,2020-03-29
Other,Other,B.1.320,0.018,2020-03-01
Other,Other,B.1.320,0.007,2020-03-15
Other,Other,B.1.320,0.003,2020-03-22
Other,Other,B.1.320,0.006,2020-03-29
Other,Other,B.1.320,0.007,2020-04-05
Other,Other,B.1.320,0.005,2020-04-12
Other,Other,B.1.320,0.001,2020-04-26
Other,Other,B.1.320,0.003,2020-05-17
Other,Other,B.1.323,0.003,2020-05-17
Other,Other,B.1.324,0,2021-01-17
Other,Other,B.1.332,0.002,2020-03-15
Other,Other,B.1.332,0.002,2020-03-22
Other,Other,B.1.332,0.004,2020-03-29
Other,Other,B.1.336,0.001,2020-12-06
Other,Other,B.1.340,0.001,2020-11-22
Other,Other,B.1.343,0.002,2020-03-29
Other,Other,B.1.343,0.002,2020-04-05
Other,Other,B.1.343,0.001,2020-04-19
Other,Other,B.1.346,0.001,2020-11-08
Other,Other,B.1.346,0.004,2020-11-22
Other,Other,B.1.346,0.006,2020-11-29
Other,Other,B.1.346,0.001,2020-12-06
Other,Other,B.1.346,0.001,2020-12-13
Other,Other,B.1.346,0.004,2020-12-20
Other,Other,B.1.346,0.017,2020-12-27
Other,Other,B.1.346,0.003,2021-01-03
Other,Other,B.1.346,0.002,2021-01-10
Other,Other,B.1.346,0.011,2021-01-17
Other,Other,B.1.346,0.004,2021-01-24
Other,Other,B.1.346,0,2021-02-28
Other,Other,B.1.346,0,2021-03-07
Other,Other,B.1.346,0,2021-03-14
Other,Other,B.1.346,0,2021-06-20
Other,Other,B.1.349,0.001,2020-03-29
Other,Other,B.1.349,0.004,2020-10-18
Other,Other,B.1.349,0.003,2020-10-25
Other,Other,B.1.349,0.004,2020-11-01
Other,Other,B.1.349,0.001,2020-11-08
Other,Other,B.1.349,0.001,2020-11-22
Other,Other,B.1.349,0.008,2020-11-29
Other,Other,B.1.349,0.001,2020-12-06
Other,Other,B.1.349,0.002,2020-12-13
Other,Other,B.1.349,0.002,2020-12-20
Other,Other,B.1.349,0.003,2020-12-27
Other,Other,B.1.349,0.002,2021-01-03
Other,Other,B.1.349,0.002,2021-01-10
Other,Other,B.1.349,0.002,2021-01-17
Other,Other,B.1.349,0.002,2021-01-24
Other,Other,B.1.349,0.001,2021-01-31
Other,Other,B.1.349,0,2021-02-07
Other,Other,B.1.349,0,2021-02-14
Other,Other,B.1.350,0.008,2019-12-29
Other,Other,B.1.350,0.027,2020-03-01
Other,Other,B.1.350,0.013,2020-03-08
Other,Other,B.1.350,0.027,2020-03-15
Other,Other,B.1.350,0.029,2020-03-22
Other,Other,B.1.350,0.031,2020-03-29
Other,Other,B.1.350,0.031,2020-04-05
Other,Other,B.1.350,0.013,2020-04-12
Other,Other,B.1.350,0.026,2020-04-19
Other,Other,B.1.350,0.014,2020-04-26
Other,Other,B.1.350,0.031,2020-05-03
Other,Other,B.1.350,0.083,2020-05-10
Other,Other,B.1.350,0.055,2020-05-17
Other,Other,B.1.350,0.021,2020-05-24
Other,Other,B.1.350,0.009,2020-05-31
Other,Other,B.1.350,0.005,2020-06-07
Other,Other,B.1.350,0.019,2020-06-14
Other,Other,B.1.350,0.011,2020-06-21
Other,Other,B.1.354,0.01,2020-06-07
Other,Other,B.1.354,0.01,2020-06-28
Other,Other,B.1.356,0.006,2020-03-15
Other,Other,B.1.356,0.006,2020-03-22
Other,Other,B.1.356,0.004,2020-03-29
Other,Other,B.1.356,0.002,2020-04-05
Other,Other,B.1.356,0.004,2020-04-12
Other,Other,B.1.356,0.001,2020-04-19
Other,Other,B.1.359,0.001,2020-03-15
Other,Other,B.1.359,0.001,2020-03-22
Other,Other,B.1.36,0.023,2019-12-29
Other,Other,B.1.36,0.01,2020-06-28
Other,Other,B.1.36,0.013,2020-08-09
Other,Other,B.1.36,0.02,2020-08-16
Other,Other,B.1.36,0.032,2020-08-23
Other,Other,B.1.36,0.019,2020-08-30
Other,Other,B.1.36,0.043,2020-09-06
Other,Other,B.1.36,0.058,2020-09-13
Other,Other,B.1.36,0.086,2020-09-20
Other,Other,B.1.36,0.072,2020-09-27
Other,Other,B.1.36,0.051,2020-10-04
Other,Other,B.1.36,0.049,2020-10-11
Other,Other,B.1.36,0.058,2020-10-18
Other,Other,B.1.36,0.045,2020-10-25
Other,Other,B.1.36,0.047,2020-11-01
Other,Other,B.1.36,0.032,2020-11-08
Other,Other,B.1.36,0.035,2020-11-15
Other,Other,B.1.36,0.036,2020-11-22
Other,Other,B.1.36,0.049,2020-11-29
Other,Other,B.1.36,0.022,2020-12-06
Other,Other,B.1.36,0.049,2020-12-13
Other,Other,B.1.36,0.036,2020-12-20
Other,Other,B.1.36,0.023,2020-12-27
Other,Other,B.1.36,0.043,2021-01-03
Other,Other,B.1.36,0.047,2021-01-10
Other,Other,B.1.36,0.048,2021-01-17
Other,Other,B.1.36,0.038,2021-01-24
Other,Other,B.1.36,0.048,2021-01-31
Other,Other,B.1.36,0.074,2021-02-07
Other,Other,B.1.36,0.062,2021-02-14
Other,Other,B.1.36,0.037,2021-02-21
Other,Other,B.1.36,0.032,2021-02-28
Other,Other,B.1.36,0.031,2021-03-07
Other,Other,B.1.36,0.024,2021-03-14
Other,Other,B.1.36,0.016,2021-03-21
Other,Other,B.1.36,0.008,2021-03-28
Other,Other,B.1.36,0.006,2021-04-04
Other,Other,B.1.36,0.005,2021-04-11
Other,Other,B.1.36,0.009,2021-04-18
Other,Other,B.1.36,0.007,2021-04-25
Other,Other,B.1.36,0.002,2021-05-02
Other,Other,B.1.36,0.001,2021-05-09
Other,Other,B.1.36,0.002,2021-05-16
Other,Other,B.1.36,0.001,2021-06-13
Other,Other,B.1.36,0.001,2021-06-20
Other,Other,B.1.36,0.001,2022-02-27
Other,Other,B.1.36.1,0.001,2020-12-06
Other,Other,B.1.36.1,0.001,2020-12-27
Other,Other,B.1.36.1,0.001,2021-02-07
Other,Other,B.1.36.1,0.001,2021-02-14
Other,Other,B.1.36.1,0.001,2021-02-21
Other,Other,B.1.36.10,0.005,2020-07-19
Other,Other,B.1.36.10,0.001,2020-10-04
Other,Other,B.1.36.10,0.001,2020-10-11
Other,Other,B.1.36.10,0,2021-01-03
Other,Other,B.1.36.17,0,2021-04-04
Other,Other,B.1.36.18,0.008,2019-12-29
Other,Other,B.1.36.18,0.002,2020-08-23
Other,Other,B.1.36.18,0.005,2020-08-30
Other,Other,B.1.36.18,0.015,2020-09-06
Other,Other,B.1.36.18,0.002,2020-09-13
Other,Other,B.1.36.18,0.002,2020-09-20
Other,Other,B.1.36.18,0.006,2020-09-27
Other,Other,B.1.36.18,0.005,2020-10-04
Other,Other,B.1.36.18,0.002,2020-10-11
Other,Other,B.1.36.18,0.007,2020-10-18
Other,Other,B.1.36.18,0.009,2020-10-25
Other,Other,B.1.36.18,0.066,2020-11-01
Other,Other,B.1.36.18,0.043,2020-11-08
Other,Other,B.1.36.18,0.03,2020-11-15
Other,Other,B.1.36.18,0.084,2020-11-22
Other,Other,B.1.36.18,0.08,2020-11-29
Other,Other,B.1.36.18,0.056,2020-12-06
Other,Other,B.1.36.18,0.079,2020-12-13
Other,Other,B.1.36.18,0.059,2020-12-20
Other,Other,B.1.36.18,0.087,2020-12-27
Other,Other,B.1.36.18,0.061,2021-01-03
Other,Other,B.1.36.18,0.052,2021-01-10
Other,Other,B.1.36.18,0.093,2021-01-17
Other,Other,B.1.36.18,0.045,2021-01-24
Other,Other,B.1.36.18,0.04,2021-01-31
Other,Other,B.1.36.18,0.023,2021-02-07
Other,Other,B.1.36.18,0.027,2021-02-14
Other,Other,B.1.36.18,0.026,2021-02-21
Other,Other,B.1.36.18,0.021,2021-02-28
Other,Other,B.1.36.18,0.014,2021-03-07
Other,Other,B.1.36.18,0.01,2021-03-14
Other,Other,B.1.36.18,0.005,2021-03-21
Other,Other,B.1.36.18,0.005,2021-03-28
Other,Other,B.1.36.18,0.003,2021-04-04
Other,Other,B.1.36.18,0.004,2021-04-11
Other,Other,B.1.36.18,0.002,2021-04-18
Other,Other,B.1.36.18,0.001,2021-04-25
Other,Other,B.1.36.18,0.001,2021-05-02
Other,Other,B.1.36.18,0,2021-05-16
Other,Other,B.1.36.18,0.001,2021-05-23
Other,Other,B.1.36.18,0,2021-05-30
Other,Other,B.1.36.18,0.003,2021-06-20
Other,Other,B.1.36.22,0.001,2020-11-29
Other,Other,B.1.36.22,0.001,2020-12-13
Other,Other,B.1.36.22,0.001,2020-12-20
Other,Other,B.1.36.22,0,2021-01-03
Other,Other,B.1.36.22,0,2021-01-10
Other,Other,B.1.36.22,0.001,2021-01-17
Other,Other,B.1.36.22,0.002,2021-01-24
Other,Other,B.1.36.22,0,2021-02-07
Other,Other,B.1.36.22,0,2021-03-07
Other,Other,B.1.36.22,0,2021-04-11
Other,Other,B.1.36.22,0,2021-05-02
Other,Other,B.1.36.26,0.004,2020-08-23
Other,Other,B.1.36.26,0.008,2020-08-30
Other,Other,B.1.36.26,0.01,2020-09-13
Other,Other,B.1.36.26,0.007,2020-09-20
Other,Other,B.1.36.26,0.017,2020-09-27
Other,Other,B.1.36.26,0.011,2020-10-04
Other,Other,B.1.36.26,0.019,2020-10-11
Other,Other,B.1.36.26,0.035,2020-10-18
Other,Other,B.1.36.26,0.008,2020-10-25
Other,Other,B.1.36.26,0.028,2020-11-01
Other,Other,B.1.36.26,0.01,2020-11-08
Other,Other,B.1.36.26,0.002,2020-11-15
Other,Other,B.1.36.26,0.019,2020-11-22
Other,Other,B.1.36.26,0.009,2020-11-29
Other,Other,B.1.36.26,0.017,2020-12-06
Other,Other,B.1.36.26,0.007,2020-12-13
Other,Other,B.1.36.26,0.003,2020-12-20
Other,Other,B.1.36.26,0.004,2020-12-27
Other,Other,B.1.36.26,0.003,2021-01-03
Other,Other,B.1.36.26,0.002,2021-01-10
Other,Other,B.1.36.26,0.001,2021-01-17
Other,Other,B.1.36.26,0.002,2021-01-24
Other,Other,B.1.36.26,0.003,2021-01-31
Other,Other,B.1.36.26,0,2021-02-07
Other,Other,B.1.36.26,0,2021-06-20
Other,Other,B.1.36.29,0.001,2020-11-08
Other,Other,B.1.36.29,0.001,2020-11-29
Other,Other,B.1.36.29,0.004,2020-12-06
Other,Other,B.1.36.29,0.001,2020-12-13
Other,Other,B.1.36.29,0.001,2021-01-03
Other,Other,B.1.36.29,0.002,2021-01-24
Other,Other,B.1.36.29,0.001,2021-01-31
Other,Other,B.1.36.29,0.001,2021-02-07
Other,Other,B.1.36.29,0.001,2021-02-14
Other,Other,B.1.36.29,0.001,2021-02-21
Other,Other,B.1.36.29,0.001,2021-02-28
Other,Other,B.1.36.29,0.001,2021-03-07
Other,Other,B.1.36.29,0,2021-03-14
Other,Other,B.1.36.29,0,2021-04-11
Other,Other,B.1.36.31,0.001,2020-11-01
Other,Other,B.1.36.31,0.001,2020-11-08
Other,Other,B.1.36.31,0.002,2020-11-22
Other,Other,B.1.36.31,0.002,2020-11-29
Other,Other,B.1.36.31,0.001,2020-12-06
Other,Other,B.1.36.31,0.004,2020-12-13
Other,Other,B.1.36.31,0.004,2020-12-27
Other,Other,B.1.36.31,0.006,2021-01-03
Other,Other,B.1.36.31,0.004,2021-01-10
Other,Other,B.1.36.31,0.009,2021-01-17
Other,Other,B.1.36.31,0.006,2021-01-24
Other,Other,B.1.36.31,0.004,2021-01-31
Other,Other,B.1.36.31,0.003,2021-02-07
Other,Other,B.1.36.31,0.003,2021-02-14
Other,Other,B.1.36.31,0.003,2021-02-21
Other,Other,B.1.36.31,0.003,2021-02-28
Other,Other,B.1.36.31,0.003,2021-03-07
Other,Other,B.1.36.31,0.001,2021-03-14
Other,Other,B.1.36.31,0,2021-03-21
Other,Other,B.1.36.31,0.001,2021-03-28
Other,Other,B.1.36.31,0.001,2021-04-04
Other,Other,B.1.36.31,0.001,2021-04-11
Other,Other,B.1.36.31,0.001,2021-04-18
Other,Other,B.1.36.31,0,2021-04-25
Other,Other,B.1.36.31,0,2021-05-02
Other,Other,B.1.36.31,0,2021-05-16
Other,Other,B.1.36.31,0,2021-06-20
Other,Other,B.1.36.34,0.003,2020-05-24
Other,Other,B.1.36.34,0.002,2020-05-31
Other,Other,B.1.36.34,0.001,2020-12-20
Other,Other,B.1.36.36,0.002,2020-08-30
Other,Other,B.1.36.36,0.003,2020-09-06
Other,Other,B.1.36.36,0.02,2020-09-13
Other,Other,B.1.36.36,0.022,2020-09-20
Other,Other,B.1.36.36,0.041,2020-09-27
Other,Other,B.1.36.36,0.028,2020-10-04
Other,Other,B.1.36.36,0.033,2020-10-11
Other,Other,B.1.36.36,0.126,2020-10-18
Other,Other,B.1.36.36,0.116,2020-10-25
Other,Other,B.1.36.36,0.136,2020-11-01
Other,Other,B.1.36.36,0.171,2020-11-08
Other,Other,B.1.36.36,0.139,2020-11-15
Other,Other,B.1.36.36,0.066,2020-11-22
Other,Other,B.1.36.36,0.06,2020-11-29
Other,Other,B.1.36.36,0.076,2020-12-06
Other,Other,B.1.36.36,0.06,2020-12-13
Other,Other,B.1.36.36,0.048,2020-12-20
Other,Other,B.1.36.36,0.04,2020-12-27
Other,Other,B.1.36.36,0.042,2021-01-03
Other,Other,B.1.36.36,0.038,2021-01-10
Other,Other,B.1.36.36,0.025,2021-01-17
Other,Other,B.1.36.36,0.028,2021-01-24
Other,Other,B.1.36.36,0.025,2021-01-31
Other,Other,B.1.36.36,0.03,2021-02-07
Other,Other,B.1.36.36,0.018,2021-02-14
Other,Other,B.1.36.36,0.009,2021-02-21
Other,Other,B.1.36.36,0.006,2021-02-28
Other,Other,B.1.36.36,0.004,2021-03-07
Other,Other,B.1.36.36,0.006,2021-03-14
Other,Other,B.1.36.36,0.001,2021-03-21
Other,Other,B.1.36.36,0.001,2021-03-28
Other,Other,B.1.36.36,0,2021-04-04
Other,Other,B.1.36.36,0,2021-04-11
Other,Other,B.1.36.36,0,2021-05-16
Other,Other,B.1.36.37,0.002,2020-10-04
Other,Other,B.1.36.37,0.008,2020-10-11
Other,Other,B.1.36.37,0.028,2020-10-18
Other,Other,B.1.36.37,0.02,2020-10-25
Other,Other,B.1.36.37,0.016,2020-11-01
Other,Other,B.1.36.37,0.019,2020-11-08
Other,Other,B.1.36.37,0.023,2020-11-15
Other,Other,B.1.36.37,0.03,2020-11-22
Other,Other,B.1.36.37,0.026,2020-11-29
Other,Other,B.1.36.37,0.025,2020-12-06
Other,Other,B.1.36.37,0.017,2020-12-13
Other,Other,B.1.36.37,0.023,2020-12-20
Other,Other,B.1.36.37,0.01,2020-12-27
Other,Other,B.1.36.37,0.002,2021-01-03
Other,Other,B.1.36.37,0.004,2021-01-10
Other,Other,B.1.36.37,0.001,2021-01-17
Other,Other,B.1.36.37,0.001,2021-01-24
Other,Other,B.1.36.37,0.001,2021-01-31
Other,Other,B.1.36.37,0.001,2021-02-07
Other,Other,B.1.36.37,0.002,2021-02-21
Other,Other,B.1.36.37,0.003,2021-02-28
Other,Other,B.1.36.37,0.001,2021-03-07
Other,Other,B.1.36.37,0,2021-03-14
Other,Other,B.1.36.37,0,2021-03-21
Other,Other,B.1.36.37,0.003,2021-03-28
Other,Other,B.1.36.37,0.003,2021-04-04
Other,Other,B.1.36.37,0.001,2021-04-11
Other,Other,B.1.36.38,0.005,2020-06-28
Other,Other,B.1.36.38,0.005,2020-08-09
Other,Other,B.1.36.38,0.009,2020-08-16
Other,Other,B.1.36.38,0.004,2020-08-23
Other,Other,B.1.36.38,0.005,2020-08-30
Other,Other,B.1.36.38,0.015,2020-09-06
Other,Other,B.1.36.38,0.006,2020-09-13
Other,Other,B.1.36.38,0.015,2020-09-20
Other,Other,B.1.36.38,0.015,2020-09-27
Other,Other,B.1.36.38,0.012,2020-10-04
Other,Other,B.1.36.38,0.034,2020-10-11
Other,Other,B.1.36.38,0.019,2020-10-18
Other,Other,B.1.36.38,0.024,2020-10-25
Other,Other,B.1.36.38,0.032,2020-11-01
Other,Other,B.1.36.38,0.012,2020-11-08
Other,Other,B.1.36.38,0.012,2020-11-15
Other,Other,B.1.36.38,0.017,2020-11-22
Other,Other,B.1.36.38,0.011,2020-11-29
Other,Other,B.1.36.38,0.013,2020-12-06
Other,Other,B.1.36.38,0.011,2020-12-13
